name,line
trump,GPE you
trump, GPE you
trump, GPE you to Vice President PERSON
trump, He's a good guy
trump, We've done a great job together
trump, And PERSON, PERSON
trump, GPE you, PERSON
trump, What a victory we had in GPE
trump, What a victory was that
trump, One of the greats
trump, GPE that the greatest evening But I'm thrilled to be here with thousands of hardworking patriots as we celebrate the miracle of GPE, the greatness of GPE and the glory of God
trump, GPE you very much
trump, And did you notice that everybody is saying PERSON again Did you notice Saying PERSON
trump, I remember when I first started this beautiful trip, this beautiful journey, I just said to the ORGANIZATION, You are so lucky
trump, I took you on this fantastic journey
trump, It's so much fun
trump, They want to impeach you
trump, They want to do worse than that
trump, By the way, by the way, by the way, it doesn't really feel like we're being impeached
trump, The country is doing better than ever before
trump, We did nothing wrong
trump, We did nothing wrong
trump, And we have tremendous support in the ORGANIZATION like we've never had before
trump, PERSON's ever had this kind of support
trump, But this sacred season, our country is thriving and it's thriving truly like it has never, it has never happened before to the extent what's happening now
trump, And by the way, your state, because of us, not because of local government, but because of us, because of the job that we've done
trump, Because I understand she's not fixing those potholes
trump, That's what the word is
trump, It was all about roads and they want to raise those gasoline taxes on you
trump, We don't want to do that
trump, But she's not fixing the potholes
trump, But PERSON's had the best year it's ever had
trump, GPE year it's ever had
trump, And that's because we have auto companies expanding and thriving and they're coming in from GPE and they're coming in from a lot of other places
trump, PERSON what's happening
trump, And you know, I don't know if you know this, but probably 10 years ago I was honored
trump, I was the Man Of The Year by I think somebody, whoever
trump, I was the Man Of The Year in GPE
trump, Can you believe it GPE time
trump, And that was long before I ever decided to do this
trump, I was happy
trump, I had a beautiful life
trump, What the hell did I do this for But look how we're doing
trump, Do we love it I love it
trump, But anyway, I was the Man Of The Year and probably close to 10 years ago and I came to PERSON
trump, He said, You're still the Man Of The Year
trump, GPE you
trump, PERSON said that Thank you
trump, So I came in and I remember the speech so well
trump, I said, Why are you allowing them to steal your car companies Why are you allowing them to go to GPE and to go from GPE where they come in from GPE, they build them in GPE, they sell them into our country with no tax and you lose your jobs, you lose your factories, the companies leave and you get nothing
trump, Why are they lying I asked that a long time ago and we stopped it
trump, We've stopped it
trump, And you see that
trump, And we just made the ORGANIZATION
trump, We're getting rid of ORGANIZATION, which I think is the worst trade deal ever
trump, And it's very exciting
trump, It's a great deal
trump, It's a great deal
trump, It's going to stop exactly what we were just talking about
trump, It makes it very, very prohibitive
trump, They can do it, but they've got to pay a hell of a big price to do it
trump, And history has proven that stops them
trump, But we have a great USMCA that we negotiated with GPE, with GPE
trump, Now, from the standpoint of the farmers, you know what's going on
trump, We had tremendous trade barriers in GPE
trump, We had attacks on dairy products, 297 tariff, nobody talked about it, with GPE
trump, And we had some really bad things with GPE
trump, We now have a wonderful deal
trump, And if we didn't have a good deal, you know what I would have done what What I would have put tariffs on both countries and that would have been it, right That would have been it
