name,line
QUIJANO," Good evening. From Longwood University in Farmville, Virginia, and welcome to the first, and only, vice presidential debate of 2016, sponsored by the Commission on Presidential Debates."
KAINE," Elaine, thank you for being here tonight, and, Governor Pence, welcome. It is so great to be back at Longwood University in Farmville, Virginia."
QUIJANO, Governor Pence?
PENCE," Well, first off, thank you, Elaine, and thank you to — thank you to Norwood University for their wonderful hospitality and the Commission on Presidential Debates. It’s deeply humbling for me to be here, to be surrounded by my — my wonderful family."
QUIJANO," Senator Kaine, on the campaign trail, you praised Secretary Clinton’s character, including her commitment to public service, yet 60 percent of voters don’t think she’s trustworthy. Why do so many people distrust her? Is it because they have questions about her e-mails and the Clinton Foundation?"
KAINE," Elaine, let me tell you why I trust Hillary Clinton. Here’s what people should look at as they look at a public servant. Do they have a passion in their life that showed up before they were in public life? And have they held onto that passion throughout their life, regardless of whether they were in office or not, succeeding or failing?"
QUIJANO," Governor Pence, let me ask you, you have said Donald Trump is, quote, “thoughtful, compassionate, and steady.” Yet 67 percent of voters feel he is a risky choice, and 65 percent feel he does not have the right kind of temperament to be president. Why do so many Americans think Mr. Trump is simply too erratic?"
PENCE," Well, let me — let me say first and foremost that, Senator, you and Hillary Clinton would know a lot about an insult-driven campaign. It really is remarkable. At a time when literally, in the wake of Hillary Clinton’s tenure as secretary of state, where she was the architect of the Obama administration’s foreign policy, we see entire portions of the world, particularly the wider Middle East, literally spinning out of control. I mean, the situation we’re watching hour by hour in Syria today is the result of the failed foreign policy and the weak foreign policy that Hillary Clinton helped lead in this administration and create. The newly emboldened — the aggression of Russia, whether it was in Ukraine or now their heavy-handed approach…"
KAINE, You guys love Russia. You both have said…
PENCE, … their heavy-handed approach.
KAINE, You both have said — you both have said Vladimir Putin is a better leader than the president.
PENCE, Well…[crosstalk]
QUIJANO," Well, we’re going to get to Russia in just a moment. But I do want to get back to the question at…"
PENCE," But in the midst — Elaine, thank you. Thank you. Thank you, Senator, I’ll…"
KAINE, These guys have praised Vladimir Putin as a great leader. How can that…[crosstalk]
QUIJANO," Yes, and we will get to that, Senator. We do have that coming up here. But in the meantime, the questions…"
PENCE," Well, Senator, I must have hit a…[crosstalk]…I must have hit a nerve here."
QUIJANO, Why the disconnect?
PENCE," Because at a time of great challenge in the life of this nation, where we’ve weakened America’s place in the world, stifled America’s economy, the campaign of Hillary Clinton and Tim Kaine has been an avalanche of insults."
KAINE, And paid few taxes and lost a billion a year.
QUIJANO, And why the disconnect with your running mate?
PENCE," But there’s a — there’s a reason why people question the trustworthiness of Hillary Clinton. And that’s because they’re paying attention. I mean, the reality is, when she was secretary of state, Senator, come on. She had a Clinton Foundation accepting contributions from foreign governments."
KAINE, You are Donald Trump’s apprentice. Let me talk about this…[crosstalk]
PENCE," Senator, I think I’m still on my time."
KAINE," Well, I think — isn’t this a discussion?"
QUIJANO, This is our open discussion.
KAINE," Yeah, let’s talk about the state of…[crosstalk]"
PENCE," Well, let me interrupt — let me interrupt you and finish my sentence, if I can."
KAINE, Finish your sentence.
PENCE, The Clinton Foundation accepted foreign contributions from foreign governments and foreign donors while she was secretary of state.
KAINE," OK, now I can weigh in. Now…"
PENCE, She had a private server…
KAINE," Now, I get to weigh in. Now, let me just say this…"
PENCE, … that was discovered…[crosstalk]
QUIJANO," … Senator, you have an opportunity to respond."
PENCE, … keep that pay to play process out of the reach of the public.
KAINE," Governor Pence — Governor Pence doesn’t think the world’s going so well and he, you know, is going to say it’s everybody’s fault."
PENCE, Do you?
KAINE," Let me tell you this. When Hillary Clinton became secretary of state, Governor Pence, do you know that Osama bin Laden was alive?"
PENCE, Yes.
